CITYNAME,世帯,人員,生活保護世帯,生活保護人員,保護率
千代田区,34676,60889,582,634,10.4
中央区,85983,154268,983,1130,7.3
港区,135262,252306,1930,2281,9
新宿区,212424,342604,9007,10291,30
文京区,124365,225990,2082,2367,10.5
台東区,116415,202468,8078,8738,43.2
墨田区,137090,263365,6582,8106,30.8
江東区,252514,509301,7798,9899,19.4
品川区,219030,396898,4833,5686,14.3
目黒区,149257,282485,2480,2898,10.3
大田区,382085,728415,13616,16686,22.9
世田谷区,475727,920685,8756,10211,11.1
渋谷区,139166,229402,2919,3248,14.2
中野区,202968,335228,6703,7607,22.7
杉並区,320624,575070,6610,7609,13.2
豊島区,182708,297755,6221,6951,23.3
北区,185666,348529,7882,9520,27.3
荒川区,106615,215855,5384,6478,30
板橋区,302518,573589,14185,18458,32.2
練馬区,347791,730666,13247,16994,23.3
足立区,321297,676388,18828,24792,36.7
葛飾区,209157,449937,10682,13800,30.7
江戸川区,319201,690905,15681,21002,30.4